tmdb_id,title,type,release_date,genres,tmdb_rating,my_rating,my_rating_label,date_rated,overview,poster_url
1087891,The Amateur,movie,2025-04-09,"Thriller, Action",6.921,-2,Maybe Later,2025-06-19 22:01:59.014778,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",https://image.tmdb.org/t/p/w500/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg
1426776,STRAW,movie,2025-06-05,"Thriller, Drama, Crime",8.066,0,Want to See,2025-06-19 22:02:20.098213,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,https://image.tmdb.org/t/p/w500/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg
1087192,How to Train Your Dragon,movie,2025-06-06,"Action, Family, Fantasy",8.0,0,Want to See,2025-06-19 22:03:00.600073,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",https://image.tmdb.org/t/p/w500/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg
870028,The Accountant²,movie,2025-04-23,,7.223,-1,Not Interested,2025-06-19 22:33:59.744496,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",https://image.tmdb.org/t/p/w500/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg
65701,Good Mythical Morning,tv,2012-01-09,,7.0,-1,Not Interested,2025-06-19 22:34:13.652438,"Two ""Internetainers"" (Rhett & Link) go far out and do the weirdest things, giving you a daily dose of casual comedy every Monday-Friday.",https://image.tmdb.org/t/p/w500/jMpBQr2aNOFAI6wsC47zsOG6qOh.jpg
157336,Interstellar,movie,2014-11-05,,8.455,4,🌟 Perfect,2025-06-19 22:36:20.805553,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
574475,Final Destination Bloodlines,movie,2025-05-14,,7.2,0,👀 Want to See,2025-06-19 23:04:43.467828,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
1233413,Sinners,movie,2025-04-16,,7.56,2,🤷 OK,2025-06-19 23:05:28.934822,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",/yqsCU5XOP2mkbFamzAqbqntmfav.jpg
1450599,K.O.,movie,2025-06-05,,6.539,-1,Not Interested,2025-06-19 23:05:35.959513,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.",/qcM2sUiAeP4zXwx4ADSvgc9S58k.jpg
666154,Kayara,movie,2025-01-02,,7.6,-1,Not Interested,2025-06-19 23:05:42.539527,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",/tpZdjnoJ6Z3NsSxI6HjAIggrcEv.jpg
1442776,Crazy Lizard,movie,2024-03-27,,0.0,-1,Not Interested,2025-06-19 23:05:45.800615,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.",/9TFaFsSXedaALXTzba349euDeoY.jpg
552524,Lilo & Stitch,movie,2025-05-17,,7.097,0,👀 Want to See,2025-06-19 23:07:08.612915,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,/A89x10Eqt43bPFEWPpbraWwkaFr.jpg
1240475,Hunt the Wicked,movie,2024-02-12,,4.8,-1,❌ Don't Want to See,2025-06-19 23:07:15.396211,"The film tells the story of narcotics police officer Huang Mingjin and the ""mysterious figure"" Wei Yunzhou. Through completely different means and methods, in the process of calculating and wrestling with each other, they tear apart the facade of urban tranquility, exposing the underground drug network woven by the hidden hand ""Long Wang"", and ultimately eradicate the darkness with the sword of justice, revealing the dawn of light.",/m5UBHbEjQJx3AkRZWRY6A4l4ZDT.jpg
1239193,Deep Cover,movie,2025-06-12,,6.715,-1,❌ Don't Want to See,2025-06-19 23:07:24.897029,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.",/euM8fJvfH28xhjGy25LiygxfkWc.jpg
1017163,The Roundup: Punishment,movie,2024-04-24,,6.8,-1,❌ Don't Want to See,2025-06-19 23:07:36.513316,'Monster Cop' Ma Seok-do investigates an illegal online gambling business led by a former STS Baek and an IT genius CEO Chang. Ma proposes an unexpected alliance to Jang and begins hunting down the criminals.,/yk38mNoJpsswmk9o7i7eLhO4mc.jpg
950387,A Minecraft Movie,movie,2025-03-31,,6.509,-1,❌ Don't Want to See,2025-06-19 23:07:41.265438,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
1127110,Diablo,movie,2025-06-13,,6.72,-1,❌ Don't Want to See,2025-06-19 23:07:43.152041,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.",/uFQduVyYIinJy3eLjozgfl6Xtcn.jpg
1379587,Utopia,movie,2024-12-09,,5.162,-1,❌ Don't Want to See,2025-06-19 23:07:44.814717,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems.",/yef0tY1Nw3BX8PJTfBLieqHj5Hw.jpg
1225916,3ão: An Endless Story,movie,2023-12-11,,8.375,-1,❌ Don't Want to See,2025-06-19 23:07:46.666028,"This movie is a gift for the 2023 ESCA high school third-year students. Despite a challenging year, we know it wasn't all about studying and sadness...",/ghNV52iBTQgtkd0nFZkAyvngCbr.jpg
1315988,Mikaela,movie,2025-01-31,,6.196,-1,❌ Don't Want to See,2025-06-19 23:07:48.886862,"During the eve of the 6th of January, a record-breaking snowstorm sweeps across Spain. In the midst of its chaos, a group of robbers seizes the opportunity to hijack an armoured van. A few meters away is Leo, a finished policeman who has nothing to lose. With the unexpected aid of a young woman, he will try to stop the band from running away with their loot.",/xG8olkWOmoW78GbozKbS2UxYGEo.jpg
1289601,Life After Fighting,movie,2024-06-07,,7.027,-1,❌ Don't Want to See,2025-06-19 23:07:57.022806,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it.",/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg
1376434,Predator: Killer of Killers,movie,2025-06-05,,7.989,-1,❌ Don't Want to See,2025-06-19 23:07:59.688917,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg
63770,The Late Show with Stephen Colbert,tv,2015-09-08,"Comedy, Talk",6.343,-1,❌ Don't Want to See,2025-06-19 23:08:06.314455,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater. Stephen Colbert, Chris Licht, Tom Purcell, and Jon Stewart are executive producers. Barry Julien and Denise Rehrig serve as co-executive producers.must watch",https://image.tmdb.org/t/p/w500/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg
2224,The Daily Show,tv,1996-07-22,"News, Comedy",6.354,-1,❌ Don't Want to See,2025-06-19 23:31:04.248839,"The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",https://image.tmdb.org/t/p/w500/ixcfyK7it6FjRM36Te4OdblAq4X.jpg
50821,Among Friends,tv,1998-10-26,"Drama, Family",3.2,-1,❌ Don't Want to See,2025-06-19 23:31:08.800385,Miklós introduces viewers into the world of Money and Charm.,https://image.tmdb.org/t/p/w500/kBBbSgNchtMvsgD6z1oI1RRluHP.jpg
22980,Watch What Happens Live with Andy Cohen,tv,2009-07-16,"Talk, Comedy",5.061,-1,❌ Don't Want to See,2025-06-19 23:31:13.445950,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,https://image.tmdb.org/t/p/w500/onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg
61818,Late Night with Seth Meyers,tv,2014-02-25,"Talk, Comedy",5.3,-1,❌ Don't Want to See,2025-06-19 23:31:17.998174,"Seth Meyers, who is ""Saturday Night Live’s"" longest serving anchor on the show’s wildly popular ""Weekend Update,"" takes over as host of NBC’s ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",https://image.tmdb.org/t/p/w500/rw0QaegwgKbRoB2CZe2lfewltT9.jpg
70558,NPR Tiny Desk Concerts,tv,2008-04-22,,7.8,-1,❌ Don't Want to See,2025-06-19 23:31:22.552019,"Intimate musical performances, recorded live at the desk of All Songs Considered host Bob Boilen.",https://image.tmdb.org/t/p/w500/sJ6HdzajIVkC5G2kRROhNu8at43.jpg
498,Late Show with David Letterman,tv,1993-08-30,"Talk, Comedy",6.325,-1,❌ Don't Want to See,2025-06-19 23:31:26.381586,"Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS. The show debuted on August 30, 1993, and is produced by Letterman's production company, Worldwide Pants Incorporated and CBS Television Studios. The show's music director and band-leader of the house band, the CBS Orchestra, is Paul Shaffer. The head writer is Matt Roberts and the announcer is Alan Kalter. Of the major U.S. late-night programs, Late Show ranks second in cumulative average viewers over time and third in number of episodes over time. The show leads other late night shows in ad revenue with $271 million in 2009.

In most U.S. markets the show airs at 11:35 p.m. Eastern/Pacific time, but is recorded Monday through Wednesday at 4:30 p.m., and Thursdays at 3:30 p.m and 6:00 p.m. The second Thursday episode usually airs on Friday of that week.

In 2002, Late Show with David Letterman was ranked No. 7 on TV Guide's 50 Greatest TV Shows of All Time. CBS has a contract with Worldwide Pants to continue the show through 2014; by then, Letterman will surpass Johnny Carson as the longest tenured late-night talk show host.",https://image.tmdb.org/t/p/w500/fTBC5EpsgKmli9VQcJMtqQ08Qj4.jpg
30957,The Amazing Race,tv,2001-09-05,Reality,6.9,-1,❌ Don't Want to See,2025-06-19 23:31:38.589032,"This reality competition sees teams embark on a trek around the world to amazing destinations where they must compete in a series of challenges, some mental and some physical. Only when the tasks are completed will they learn of their next location. Teams who are the farthest behind will gradually be eliminated as the contest progresses, with the first team to arrive at the final destination winning the race and the $1 million prize.",https://image.tmdb.org/t/p/w500/x1jq0atcQg6UkaZpco0kFL6QHuM.jpg
59941,The Tonight Show Starring Jimmy Fallon,tv,2014-02-17,"Comedy, Talk",5.853,2,🤷 OK,2025-06-19 23:31:44.842037,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",https://image.tmdb.org/t/p/w500/g4amxJvtpnY79J77xeamnAEUO8r.jpg
19,Metropolis,movie,1927-02-06,"Drama, Science Fiction",8.106,-1,❌ Don't Want to See,2025-06-19 23:32:53.017939,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",https://image.tmdb.org/t/p/w500/vZIJxGnjcswPCAa52jhbl01FQkV.jpg
59,A History of Violence,movie,2005-09-23,"Drama, Thriller, Crime",7.165,0,👀 Want to See,2025-06-19 23:33:16.968304,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,https://image.tmdb.org/t/p/w500/A26rcvipOqptVs7i5uRmKicXRxE.jpg
27205,Inception,movie,2010-07-15,"Action, Science Fiction, Adventure",8.369,4,🌟 Perfect,2025-06-19 23:33:21.737721,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg
1701,Con Air,movie,1997-06-05,"Action, Thriller, Crime",6.751,3,👍 Good,2025-06-19 23:33:27.107336,"Newly-paroled former US Army ranger Cameron Poe is headed back to his wife, but must fly home aboard a prison transport flight dubbed ""Jailbird"" taking the “worst of the worst” prisoners, a group described as “pure predators”, to a new super-prison. Poe faces impossible odds when the transport plane is skyjacked mid-flight by the most vicious criminals in the country led by the mastermind — genius serial killer Cyrus ""The Virus"" Grissom, and backed by black militant Diamond Dog and psychopath Billy Bedlam.",https://image.tmdb.org/t/p/w500/kOKjgrEzGOP92rVQ6srA9jtp60l.jpg
1726,Iron Man,movie,2008-04-30,"Action, Science Fiction, Adventure",7.652,-1,❌ Don't Want to See,2025-06-19 23:33:32.478359,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",https://image.tmdb.org/t/p/w500/78lPtwv72eTNqFW9COBYI0dWDJa.jpg
11324,Shutter Island,movie,2010-02-14,"Drama, Thriller, Mystery",8.201,4,🌟 Perfect,2025-06-19 23:33:38.355260,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg
24,Kill Bill: Vol. 1,movie,2003-10-10,"Action, Crime",7.971,2,🤷 OK,2025-06-19 23:33:48.015415,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
63,Twelve Monkeys,movie,1995-12-29,"Science Fiction, Thriller, Mystery",7.602,-1,❌ Don't Want to See,2025-06-19 23:34:15.956500,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
754,Face/Off,movie,1997-06-27,"Action, Crime, Science Fiction",7.044,2,🤷 OK,2025-06-19 23:34:22.040890,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.",https://image.tmdb.org/t/p/w500/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg
155,The Dark Knight,movie,2008-07-16,"Drama, Action, Crime, Thriller",8.52,2,🤷 OK,2025-06-19 23:34:28.189215,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
1721,All the Way Boys,movie,1972-12-22,"Adventure, Action, Comedy",6.751,-1,❌ Don't Want to See,2025-06-19 23:34:37.932809,"The ""Trinity"" crew makes another modern era film. Plata and Salud are pilots ditching aircraft for insurance money. They wind up crashing for real in the jungles of South America. The plot involves ""Mr. Big"", who is buying the diamonds from the miners for much too little, and has thugs who keep the price down. Of course, Plata and Salud side with the miners",https://image.tmdb.org/t/p/w500/cWhBysh8ejHqKBcv5cGaA5FCCcq.jpg
9802,The Rock,movie,1996-06-07,"Action, Adventure, Thriller",7.134,-1,❌ Don't Want to See,2025-06-19 23:34:54.279372,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",https://image.tmdb.org/t/p/w500/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg
432684,Grand Canary,movie,1934-07-20,Drama,4.1,-1,❌ Don't Want to See,2025-06-19 23:35:04.126603,"Based on an AJ Cronin novel, a disgraced doctor exiled to the Canary Islands, meets and falls in love with a married woman.",https://image.tmdb.org/t/p/w500/7JAzjYApeu2wWaLUtvDz6KpmA0l.jpg
286217,The Martian,movie,2015-09-30,"Drama, Adventure, Science Fiction",7.689,4,🌟 Perfect,2025-06-19 23:35:10.263392,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",https://image.tmdb.org/t/p/w500/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg
62,2001: A Space Odyssey,movie,1968-04-02,"Science Fiction, Mystery, Adventure",8.066,0,👀 Want to See,2025-06-19 23:35:16.154046,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
789309,Zelené obzory,movie,1962-09-07,Drama,6.0,-1,❌ Don't Want to See,2025-06-19 23:35:22.351082,A young agricultural expert fails as the manager of a cattle farm on a state farm in the borderlands... The attempt at a realistic view of the problems of nationalised agriculture did not exceed the average of the time.,https://image.tmdb.org/t/p/w500/jGJWMxbI9A6S1WAkUp5pOgSDY20.jpg
106646,The Wolf of Wall Street,movie,2013-12-25,"Crime, Drama, Comedy",8.029,4,🌟 Perfect,2025-06-19 23:35:27.279014,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg
